Publication Name,Publication Handle,Publication Profile Image,Publication Web URL,Publication Country,Publication Primary Colour,Publication Secondary Colour
Peoples Gazette,gazettengr,https://pbs.twimg.com/profile_images/1345678399289831425/rWnxeytx_normal.jpg,www.gazettengr.com,NG,#000100,#ffffff
POLITICO,politico,https://pbs.twimg.com/profile_images/677177503694237697/y6yTzWn6_normal.png,www.politico.com,US,#ce181e,#ffffff
Breitbart News,breitbartnews,https://pbs.twimg.com/profile_images/949270171755077632/dw3M-58z_normal.jpg,www.breitbart.com,US,#fffeff,#000000
VentureBeat,VentureBeat,https://pbs.twimg.com/profile_images/1268192121477046272/oxLhAY5V_normal.jpg,www.venturebeat.com,US,#111111,#ffffff
Startup Wonders,startup_wonders,https://pbs.twimg.com/profile_images/1130915051198488576/0Rs7l1aJ_normal.png,www.startupwonders.com,IN,#701036,#ffffff
CTV News,ctvnews,https://pbs.twimg.com/profile_images/1113055141761073153/9gjeEtmz_normal.png,www.ctvnews.ca,CA,#feffff,#000000
Forbes Tech,ForbesTech,https://pbs.twimg.com/profile_images/1125882177303011330/UiIzccX9_normal.png,www.forbes.com,US,#333333,#ffffff
Science News,ScienceNews,https://pbs.twimg.com/profile_images/1210648820541018113/j4qqEa6F_normal.png,www.sciencenews.org,US,#176cab,#ffffff
Indian Startup News,indstartupnews,https://pbs.twimg.com/profile_images/1203237100931301376/qgS5Zx7A_normal.jpg,www.indianstartupnews.com,IN,#fffeff,#000000
The Indian Express,indianexpress,https://pbs.twimg.com/profile_images/1064599601553047558/s09zzXz4_normal.jpg,www.indianexpress.com,IN,#fb191d,#ffffff
Crunchbase News,crunchbasenews,https://pbs.twimg.com/profile_images/1031675362978086912/THsidRFn_normal.jpg,www.news.crunchbase.com/,US,#336cc6,#ffffff
Fast Co. Impact,FastCoImpact,https://pbs.twimg.com/profile_images/1136299923949834241/3EWxFE5X_normal.png,www.fastcompany.com,US,#55c0af,#ffffff
Vanguard Newspapers,vanguardngrnews,https://pbs.twimg.com/profile_images/1311598472240431109/MAalocvx_normal.jpg,www.vanguardngr.com,NG,#9e0000,#ffffff
Financial Times,ft,https://pbs.twimg.com/profile_images/931156393108885504/EqEMtLhM_normal.jpg,www.ft.com,UK,#fdd0b1,#000000
GeekWire Startups,seattle20,https://pbs.twimg.com/profile_images/1848563892/Seattle2.0_gw_logo_normal.jpg,www.geekwire.com/startups,US,#fffeff,#000000
Movieweb,movieweb,https://pbs.twimg.com/profile_images/1140528405848326144/WIKMPdlg_normal.png,www.movieweb.com,US,#e40000,#ffffff
TechCrunch,TechCrunch,https://pbs.twimg.com/profile_images/1096066608034918401/m8wnTWsX_normal.png,www.techcrunch.com,US,#fefffe,#000000
Silicon Bayou News,SiliconBayou,https://pbs.twimg.com/profile_images/1661403600/SBNSquareGRN_small_normal.png,www.siliconbayounews.com,US,#00a651,#ffffff
BBC News Technology,bbctech,https://pbs.twimg.com/profile_images/1150686790967316481/lQA-Lcrj_normal.png,www.bbc.co.uk,UK,#b80000,#ffffff
Us Weekly,usweekly,https://pbs.twimg.com/profile_images/1146048143882145792/C35YNceu_normal.jpg,www.usmagazine.com,US,#fffdfe,#000000
Metro,MetroUK,https://pbs.twimg.com/profile_images/1327189249532325888/14Ur4loa_normal.jpg,www.metro.co.uk,US,#000000,#ffffff
Inc42,Inc42,https://pbs.twimg.com/profile_images/1027479034416877568/lTfYZwfF_normal.jpg,www.inc42.com,IN,#d82253,#ffffff
WIRED,WIRED,https://pbs.twimg.com/profile_images/1228050699348561920/YvWAQD2L_normal.jpg,www.wired.com,US,#000000,#ffffff
The Tech Startups,thetechstartups,https://pbs.twimg.com/profile_images/985621652980383744/GhcWYRhk_normal.jpg,www.techstartups.com,US,#fefefe,#000000
The Standard Digital,standardkenya,https://pbs.twimg.com/profile_images/1388098152390184961/PMf27hXW_normal.jpg,www.standardmedia.co.ke,KE,#fffdff,#000000
Mashable,mashable,https://pbs.twimg.com/profile_images/1145679135873933312/OF0s1_Pe_normal.png,www.mashable.com,US,#00adf0,#ffffff
The Bogota Post,bogotapost,https://pbs.twimg.com/profile_images/547600497348071424/DVMgcNWQ_normal.jpeg,www.thebogotapost.com,CO,#fffeff,#000000
Mental Floss,mental_floss,https://pbs.twimg.com/profile_images/857998780410548224/zfrtpr2E_normal.jpg,www.mentalfloss.com,US,#fffdff,#000000
